ship,k,row,value
0,0,0,1056
0,0,1,949
0,0,2,1060
0,0,3,1153
0,0,4,1068
0,0,5,1110
0,0,6,1128
0,0,7,905
0,0,8,1002
0,0,9,1112
0,0,10,1021
0,0,11,1064
0,0,12,1091
0,0,13,994
0,0,14,1117
0,0,15,1167
0,0,16,994
0,0,17,1072
0,0,18,950
0,0,19,990
0,1,0,1076
0,1,1,1165
0,1,2,1133
0,1,3,1073
0,1,4,1184
0,1,5,1023
0,1,6,963
0,1,7,1051
0,1,8,1169
0,1,9,1127
0,1,10,969
0,1,11,1021
0,1,12,1065
0,1,13,949
0,1,14,1200
0,1,15,1029
0,1,16,1082
0,1,17,976
0,1,18,1083
0,1,19,991
0,2,0,1104
0,2,1,1004
0,2,2,1190
0,2,3,1188
0,2,4,1135
0,2,5,1196
0,2,6,953
0,2,7,1096
0,2,8,969
0,2,9,1126
0,2,10,1096
0,2,11,1051
0,2,12,1146
0,2,13,966
0,2,14,922
0,2,15,1193
0,2,16,1165
0,2,17,1067
0,2,18,1041
0,2,19,1087
1,0,0,934
1,0,1,906
1,0,2,1191
1,0,3,1087
1,0,4,1098
1,0,5,966
1,0,6,1058
1,0,7,1064
1,0,8,935
1,0,9,1001
1,0,10,1024
1,0,11,1036
1,0,12,923
1,0,13,968
1,0,14,1049
1,0,15,974
1,0,16,1049
1,0,17,969
1,0,18,1069
1,0,19,1073
1,1,0,1091
1,1,1,1019
1,1,2,1133
1,1,3,1188
1,1,4,1026
1,1,5,904
1,1,6,959
1,1,7,1113
1,1,8,928
1,1,9,1032
1,1,10,1160
1,1,11,1107
1,1,12,1069
1,1,13,1092
1,1,14,1036
1,1,15,1051
1,1,16,937
1,1,17,1136
1,1,18,1058
1,1,19,1087
1,2,0,1132
1,2,1,1054
1,2,2,1025
1,2,3,1148
1,2,4,1011
1,2,5,957
1,2,6,965
1,2,7,987
1,2,8,923
1,2,9,945
1,2,10,939
1,2,11,1142
1,2,12,1188
1,2,13,1027
1,2,14,1057
1,2,15,1145
1,2,16,1121
1,2,17,1095
1,2,18,1098
1,2,19,1126
2,0,0,1152
2,0,1,950
2,0,2,1099
2,0,3,932
2,0,4,1090
2,0,5,961
2,0,6,1015
2,0,7,929
2,0,8,1070
2,0,9,1163
2,0,10,949
2,0,11,1033
2,0,12,1187
2,0,13,1096
2,0,14,976
2,0,15,1118
2,0,16,932
2,0,17,1175
2,0,18,1038
2,0,19,989
2,1,0,916
2,1,1,1093
2,1,2,918
2,1,3,997
2,1,4,1176
2,1,5,960
2,1,6,1052
2,1,7,908
2,1,8,964
2,1,9,978
2,1,10,915
2,1,11,1061
2,1,12,967
2,1,13,1006
2,1,14,1118
2,1,15,1014
2,1,16,1118
2,1,17,1023
2,1,18,926
2,1,19,964
2,2,0,988
2,2,1,1033
2,2,2,956
2,2,3,1107
2,2,4,1032
2,2,5,943
2,2,6,1145
2,2,7,1068
2,2,8,951
2,2,9,1041
2,2,10,1191
2,2,11,1088
2,2,12,942
2,2,13,1113
2,2,14,955
2,2,15,1135
2,2,16,964
2,2,17,1122
2,2,18,1176
2,2,19,1144
3,0,0,1124
3,0,1,1096
3,0,2,1030
3,0,3,936
3,0,4,1159
3,0,5,918
3,0,6,960
3,0,7,1095
3,0,8,943
3,0,9,1179
3,0,10,1130
3,0,11,1063
3,0,12,1050
3,0,13,914
3,0,14,987
3,0,15,949
3,0,16,1050
3,0,17,1040
3,0,18,937
3,0,19,1108
3,1,0,1178
3,1,1,911
3,1,2,1075
3,1,3,1018
3,1,4,970
3,1,5,1157
3,1,6,1198
3,1,7,965
3,1,8,1088
3,1,9,1025
3,1,10,986
3,1,11,1015
3,1,12,1091
3,1,13,1071
3,1,14,973
3,1,15,953
3,1,16,1038
3,1,17,1179
3,1,18,1043
3,1,19,1187
3,2,0,1070
3,2,1,1071
3,2,2,1015
3,2,3,956
3,2,4,1174
3,2,5,985
3,2,6,1146
3,2,7,955
3,2,8,938
3,2,9,1077
3,2,10,1060
3,2,11,1187
3,2,12,1193
3,2,13,962
3,2,14,1037
3,2,15,922
3,2,16,977
3,2,17,905
3,2,18,1156
3,2,19,1060
